subjectSlug,subjectName,classLevel,department,topic,difficulty,stem,optionA,optionB,optionC,optionD,correctIndex,explanation,source
mathematics,Mathematics,ss2,general,Arithmetic,1,Add: 242 + 323,665,565,555,575,1,242 + 323 = 565.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Add: 407 + 635,1032,1052,1042,1142,2,407 + 635 = 1042.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Add: 372 + 620,992,1002,1092,982,0,372 + 620 = 992.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Add: 128 + 397,625,535,515,525,3,128 + 397 = 525.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Add: 881 + 607,1488,1478,1588,1498,0,881 + 607 = 1488.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Add: 349 + 664,1023,1113,1013,1003,2,349 + 664 = 1013.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Add: 178 + 816,1004,1094,984,994,3,178 + 816 = 994.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Add: 210 + 488,698,688,708,798,0,210 + 488 = 698.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Subtract: 702 − 187,515,505,525,615,0,702 − 187 = 515.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Subtract: 400 − 188,222,212,312,202,1,400 − 188 = 212.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Subtract: 472 − 103,369,469,359,379,0,472 − 103 = 369.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Subtract: 785 − 182,603,593,703,613,0,785 − 182 = 603.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Subtract: 793 − 160,733,623,643,633,3,793 − 160 = 633.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Subtract: 291 − 115,276,186,176,166,2,291 − 115 = 176.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Subtract: 775 − 156,719,609,629,619,3,775 − 156 = 619.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,1,Subtract: 843 − 147,796,686,696,706,2,843 − 147 = 696.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,2,Multiply: 25 × 28,753,672,725,700,3,25 × 28 = 700.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,2,Multiply: 16 × 25,400,416,441,375,0,16 × 25 = 400.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,2,Multiply: 20 × 12,240,272,260,228,0,20 × 12 = 240.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,2,Multiply: 16 × 15,271,240,256,225,1,16 × 15 = 240.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,2,Multiply: 20 × 22,418,440,460,482,1,20 × 22 = 440.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,2,Multiply: 26 × 28,754,782,728,700,2,26 × 28 = 728.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,2,Multiply: 22 × 17,374,357,396,413,0,22 × 17 = 374.,jamb-style
mathematics,Mathematics,ss2,general,Arithmetic,2,Multiply: 25 × 26,624,701,650,675,2,25 × 26 = 650.,jamb-style
mathematics,Mathematics,ss2,general,Fractions,2,Add and simplify: 5/10 + 3/5,12/10,11/11,11/10,8/15,2,5/10 + 3/5 = 11/10.,jamb-style
mathematics,Mathematics,ss2,general,Fractions,2,Add and simplify: 5/8 + 1/4,8/8,7/9,7/8,6/12,2,5/8 + 1/4 = 7/8.,jamb-style
